"date","country_region","casos_por_milhao"
"2020-01-22","Argentina","0.00"
"2020-01-22","Brazil","0.00"
"2020-01-22","India","0.00"
"2020-01-22","Italy","0.00"
"2020-01-23","Argentina","0.00"
"2020-01-23","Brazil","0.00"
"2020-01-23","India","0.00"
"2020-01-23","Italy","0.00"
"2020-01-24","Argentina","0.00"
"2020-01-24","Brazil","0.00"
"2020-01-24","India","0.00"
"2020-01-24","Italy","0.00"
"2020-01-25","Argentina","0.00"
"2020-01-25","Brazil","0.00"
"2020-01-25","India","0.00"
"2020-01-25","Italy","0.00"
"2020-01-26","Argentina","0.00"
"2020-01-26","Brazil","0.00"
"2020-01-26","India","0.00"
"2020-01-26","Italy","0.00"
"2020-01-27","Argentina","0.00"
"2020-01-27","Brazil","0.00"
"2020-01-27","India","0.00"
"2020-01-27","Italy","0.00"
"2020-01-28","Argentina","0.00"
"2020-01-28","Brazil","0.00"
"2020-01-28","India","0.00"
"2020-01-28","Italy","0.00"
"2020-01-29","Argentina","0.00"
"2020-01-29","Brazil","0.00"
"2020-01-29","India","0.00"
"2020-01-29","Italy","0.00"
"2020-01-30","Argentina","0.00"
"2020-01-30","Brazil","0.00"
"2020-01-30","India","0.00"
"2020-01-30","Italy","0.00"
"2020-01-31","Argentina","0.00"
"2020-01-31","Brazil","0.00"
"2020-01-31","India","0.00"
"2020-01-31","Italy","0.03"
"2020-02-01","Argentina","0.00"
"2020-02-01","Brazil","0.00"
"2020-02-01","India","0.00"
"2020-02-01","Italy","0.03"
"2020-02-02","Argentina","0.00"
"2020-02-02","Brazil","0.00"
"2020-02-02","India","0.00"
"2020-02-02","Italy","0.03"
"2020-02-03","Argentina","0.00"
"2020-02-03","Brazil","0.00"
"2020-02-03","India","0.00"
"2020-02-03","Italy","0.03"
"2020-02-04","Argentina","0.00"
"2020-02-04","Brazil","0.00"
"2020-02-04","India","0.00"
"2020-02-04","Italy","0.03"
"2020-02-05","Argentina","0.00"
"2020-02-05","Brazil","0.00"
"2020-02-05","India","0.00"
"2020-02-05","Italy","0.03"
"2020-02-06","Argentina","0.00"
"2020-02-06","Brazil","0.00"
"2020-02-06","India","0.00"
"2020-02-06","Italy","0.03"
"2020-02-07","Argentina","0.00"
"2020-02-07","Brazil","0.00"
"2020-02-07","India","0.00"
"2020-02-07","Italy","0.05"
"2020-02-08","Argentina","0.00"
"2020-02-08","Brazil","0.00"
"2020-02-08","India","0.00"
"2020-02-08","Italy","0.05"
"2020-02-09","Argentina","0.00"
"2020-02-09","Brazil","0.00"
"2020-02-09","India","0.00"
"2020-02-09","Italy","0.05"
"2020-02-10","Argentina","0.00"
"2020-02-10","Brazil","0.00"
"2020-02-10","India","0.00"
"2020-02-10","Italy","0.05"
"2020-02-11","Argentina","0.00"
"2020-02-11","Brazil","0.00"
"2020-02-11","India","0.00"
"2020-02-11","Italy","0.05"
"2020-02-12","Argentina","0.00"
"2020-02-12","Brazil","0.00"
"2020-02-12","India","0.00"
"2020-02-12","Italy","0.05"
"2020-02-13","Argentina","0.00"
"2020-02-13","Brazil","0.00"
"2020-02-13","India","0.00"
"2020-02-13","Italy","0.05"
"2020-02-14","Argentina","0.00"
"2020-02-14","Brazil","0.00"
"2020-02-14","India","0.00"
"2020-02-14","Italy","0.05"
"2020-02-15","Argentina","0.00"
"2020-02-15","Brazil","0.00"
"2020-02-15","India","0.00"
"2020-02-15","Italy","0.05"
"2020-02-16","Argentina","0.00"
"2020-02-16","Brazil","0.00"
"2020-02-16","India","0.00"
"2020-02-16","Italy","0.05"
"2020-02-17","Argentina","0.00"
"2020-02-17","Brazil","0.00"
"2020-02-17","India","0.00"
"2020-02-17","Italy","0.05"
"2020-02-18","Argentina","0.00"
"2020-02-18","Brazil","0.00"
"2020-02-18","India","0.00"
"2020-02-18","Italy","0.05"
"2020-02-19","Argentina","0.00"
"2020-02-19","Brazil","0.00"
"2020-02-19","India","0.00"
"2020-02-19","Italy","0.05"
"2020-02-20","Argentina","0.00"
"2020-02-20","Brazil","0.00"
"2020-02-20","India","0.00"
"2020-02-20","Italy","0.05"
"2020-02-21","Argentina","0.00"
"2020-02-21","Brazil","0.00"
"2020-02-21","India","0.00"
"2020-02-21","Italy","0.33"
"2020-02-22","Argentina","0.00"
"2020-02-22","Brazil","0.00"
"2020-02-22","India","0.00"
"2020-02-22","Italy","1.03"
"2020-02-23","Argentina","0.00"
"2020-02-23","Brazil","0.00"
"2020-02-23","India","0.00"
"2020-02-23","Italy","2.56"
"2020-02-24","Argentina","0.00"
"2020-02-24","Brazil","0.00"
"2020-02-24","India","0.00"
"2020-02-24","Italy","3.79"
"2020-02-25","Argentina","0.00"
"2020-02-25","Brazil","0.00"
"2020-02-25","India","0.00"
"2020-02-25","Italy","5.33"
"2020-02-26","Argentina","0.00"
"2020-02-26","Brazil","0.00"
"2020-02-26","India","0.00"
"2020-02-26","Italy","7.49"
"2020-02-27","Argentina","0.00"
"2020-02-27","Brazil","0.00"
"2020-02-27","India","0.00"
"2020-02-27","Italy","10.83"
"2020-02-28","Argentina","0.00"
"2020-02-28","Brazil","0.00"
"2020-02-28","India","0.00"
"2020-02-28","Italy","14.69"
"2020-02-29","Argentina","0.00"
"2020-02-29","Brazil","0.01"
"2020-02-29","India","0.00"
"2020-02-29","Italy","18.66"
"2020-03-01","Argentina","0.00"
"2020-03-01","Brazil","0.01"
"2020-03-01","India","0.00"
"2020-03-01","Italy","28.02"
"2020-03-02","Argentina","0.00"
"2020-03-02","Brazil","0.01"
"2020-03-02","India","0.00"
"2020-03-02","Italy","33.68"
"2020-03-03","Argentina","0.02"
"2020-03-03","Brazil","0.01"
"2020-03-03","India","0.00"
"2020-03-03","Italy","41.39"
"2020-03-04","Argentina","0.02"
"2020-03-04","Brazil","0.02"
"2020-03-04","India","0.02"
"2020-03-04","Italy","51.10"
"2020-03-05","Argentina","0.02"
"2020-03-05","Brazil","0.02"
"2020-03-05","India","0.02"
"2020-03-05","Italy","63.82"
"2020-03-06","Argentina","0.04"
"2020-03-06","Brazil","0.06"
"2020-03-06","India","0.02"
"2020-03-06","Italy","76.69"
"2020-03-07","Argentina","0.18"
"2020-03-07","Brazil","0.06"
"2020-03-07","India","0.02"
"2020-03-07","Italy","97.32"
"2020-03-08","Argentina","0.27"
"2020-03-08","Brazil","0.09"
"2020-03-08","India","0.03"
"2020-03-08","Italy","122.00"
"2020-03-09","Argentina","0.27"
"2020-03-09","Brazil","0.12"
"2020-03-09","India","0.03"
"2020-03-09","Italy","151.72"
"2020-03-10","Argentina","0.38"
"2020-03-10","Brazil","0.15"
"2020-03-10","India","0.04"
"2020-03-10","Italy","167.88"
"2020-03-11","Argentina","0.42"
"2020-03-11","Brazil","0.18"
"2020-03-11","India","0.04"
"2020-03-11","Italy","206.15"
"2020-03-12","Argentina","0.42"
"2020-03-12","Brazil","0.24"
"2020-03-12","India","0.05"
"2020-03-12","Italy","250.00"
"2020-03-13","Argentina","0.69"
"2020-03-13","Brazil","0.71"
"2020-03-13","India","0.06"
"2020-03-13","Italy","292.13"
"2020-03-14","Argentina","0.75"
"2020-03-14","Brazil","0.71"
"2020-03-14","India","0.07"
"2020-03-14","Italy","349.98"
"2020-03-15","Argentina","0.99"
"2020-03-15","Brazil","0.76"
"2020-03-15","India","0.08"
"2020-03-15","Italy","409.36"
"2020-03-16","Argentina","1.24"
"2020-03-16","Brazil","0.94"
"2020-03-16","India","0.09"
"2020-03-16","Italy","462.84"
"2020-03-17","Argentina","1.50"
"2020-03-17","Brazil","1.51"
"2020-03-17","India","0.10"
"2020-03-17","Italy","521.17"
"2020-03-18","Argentina","1.75"
"2020-03-18","Brazil","1.75"
"2020-03-18","India","0.11"
"2020-03-18","Italy","590.76"
"2020-03-19","Argentina","2.14"
"2020-03-19","Brazil","2.92"
"2020-03-19","India","0.14"
"2020-03-19","Italy","678.80"
"2020-03-20","Argentina","2.83"
"2020-03-20","Brazil","3.73"
"2020-03-20","India","0.18"
"2020-03-20","Italy","777.82"
"2020-03-21","Argentina","3.49"
"2020-03-21","Brazil","4.80"
"2020-03-21","India","0.24"
"2020-03-21","Italy","886.28"
"2020-03-22","Argentina","5.88"
"2020-03-22","Brazil","7.27"
"2020-03-22","India","0.29"
"2020-03-22","Italy","978.25"
"2020-03-23","Argentina","6.65"
"2020-03-23","Brazil","9.05"
"2020-03-23","India","0.36"
"2020-03-23","Italy","1057.47"
"2020-03-24","Argentina","8.55"
"2020-03-24","Brazil","10.56"
"2020-03-24","India","0.39"
"2020-03-24","Italy","1144.30"
"2020-03-25","Argentina","8.55"
"2020-03-25","Brazil","12.01"
"2020-03-25","India","0.48"
"2020-03-25","Italy","1230.49"
"2020-03-26","Argentina","11.10"
"2020-03-26","Brazil","14.03"
"2020-03-26","India","0.53"
"2020-03-26","Italy","1333.09"
"2020-03-27","Argentina","13.02"
"2020-03-27","Brazil","16.06"
"2020-03-27","India","0.64"
"2020-03-27","Italy","1430.84"
"2020-03-28","Argentina","15.25"
"2020-03-28","Brazil","18.35"
"2020-03-28","India","0.71"
"2020-03-28","Italy","1529.66"
"2020-03-29","Argentina","16.47"
"2020-03-29","Brazil","20.01"
"2020-03-29","India","0.74"
"2020-03-29","Italy","1615.96"
"2020-03-30","Argentina","18.13"
"2020-03-30","Brazil","21.53"
"2020-03-30","India","0.91"
"2020-03-30","Italy","1682.96"
"2020-03-31","Argentina","23.30"
"2020-03-31","Brazil","26.88"
"2020-03-31","India","1.01"
"2020-03-31","Italy","1750.00"
"2020-04-01","Argentina","23.30"
"2020-04-01","Brazil","32.14"
"2020-04-01","India","1.45"
"2020-04-01","Italy","1829.10"
"2020-04-02","Argentina","25.05"
"2020-04-02","Brazil","37.82"
"2020-04-02","India","1.84"
"2020-04-02","Italy","1906.32"
"2020-04-03","Argentina","27.96"
"2020-04-03","Brazil","42.57"
"2020-04-03","India","1.86"
"2020-04-03","Italy","1982.17"
"2020-04-04","Argentina","32.08"
"2020-04-04","Brazil","48.70"
"2020-04-04","India","2.23"
"2020-04-04","Italy","2061.65"
"2020-04-05","Argentina","32.08"
"2020-04-05","Brazil","52.32"
"2020-04-05","India","2.60"
"2020-04-05","Italy","2133.04"
"2020-04-06","Argentina","34.35"
"2020-04-06","Brazil","57.17"
"2020-04-06","India","3.46"
"2020-04-06","Italy","2192.58"
"2020-04-07","Argentina","35.99"
"2020-04-07","Brazil","65.98"
"2020-04-07","India","3.84"
"2020-04-07","Italy","2242.85"
"2020-04-08","Argentina","37.91"
"2020-04-08","Brazil","76.02"
"2020-04-08","India","4.28"
"2020-04-08","Italy","2306.30"
"2020-04-09","Argentina","39.68"
"2020-04-09","Brazil","85.05"
"2020-04-09","India","4.87"
"2020-04-09","Italy","2375.85"
"2020-04-10","Argentina","43.66"
"2020-04-10","Brazil","92.32"
"2020-04-10","India","5.50"
"2020-04-10","Italy","2441.20"
"2020-04-11","Argentina","43.66"
"2020-04-11","Brazil","97.44"
"2020-04-11","India","6.11"
"2020-04-11","Italy","2518.85"
"2020-04-12","Argentina","47.35"
"2020-04-12","Brazil","104.33"
"2020-04-12","India","6.66"
"2020-04-12","Italy","2586.54"
"2020-04-13","Argentina","48.81"
"2020-04-13","Brazil","110.15"
"2020-04-13","India","7.57"
"2020-04-13","Italy","2638.70"
"2020-04-14","Argentina","50.34"
"2020-04-14","Brazil","118.76"
"2020-04-14","India","8.32"
"2020-04-14","Italy","2687.86"
"2020-04-15","Argentina","54.00"
"2020-04-15","Brazil","133.14"
"2020-04-15","India","8.92"
"2020-04-15","Italy","2731.98"
"2020-04-16","Argentina","56.83"
"2020-04-16","Brazil","143.03"
"2020-04-16","India","9.72"
"2020-04-16","Italy","2794.60"
"2020-04-17","Argentina","59.00"
"2020-04-17","Brazil","158.35"
"2020-04-17","India","10.39"
"2020-04-17","Italy","2852.39"
"2020-04-18","Argentina","60.97"
"2020-04-18","Brazil","172.34"
"2020-04-18","India","11.38"
"2020-04-18","Italy","2910.13"
"2020-04-19","Argentina","62.76"
"2020-04-19","Brazil","181.72"
"2020-04-19","India","12.75"
"2020-04-19","Italy","2960.54"
"2020-04-20","Argentina","65.01"
"2020-04-20","Brazil","191.54"
"2020-04-20","India","13.42"
"2020-04-20","Italy","2997.85"
"2020-04-21","Argentina","67.00"
"2020-04-21","Brazil","202.52"
"2020-04-21","India","14.54"
"2020-04-21","Italy","3043.00"
"2020-04-22","Argentina","69.50"
"2020-04-22","Brazil","215.11"
"2020-04-22","India","15.47"
"2020-04-22","Italy","3098.74"
"2020-04-23","Argentina","75.93"
"2020-04-23","Brazil","235.23"
"2020-04-23","India","16.71"
"2020-04-23","Italy","3142.51"
"2020-04-24","Argentina","79.74"
"2020-04-24","Brazil","254.07"
"2020-04-24","India","17.76"
"2020-04-24","Italy","3192.49"
"2020-04-25","Argentina","83.56"
"2020-04-25","Brazil","278.90"
"2020-04-25","India","19.03"
"2020-04-25","Italy","3231.48"
"2020-04-26","Argentina","86.04"
"2020-04-26","Brazil","296.65"
"2020-04-26","India","20.19"
"2020-04-26","Italy","3269.92"
"2020-04-27","Argentina","88.49"
"2020-04-27","Brazil","317.08"
"2020-04-27","India","21.32"
"2020-04-27","Italy","3298.69"
"2020-04-28","Argentina","91.23"
"2020-04-28","Brazil","344.29"
"2020-04-28","India","22.68"
"2020-04-28","Italy","3333.27"
"2020-04-29","Argentina","94.72"
"2020-04-29","Brazil","374.62"
"2020-04-29","India","23.93"
"2020-04-29","Italy","3367.78"
"2020-04-30","Argentina","97.88"
"2020-04-30","Brazil","409.89"
"2020-04-30","India","25.24"
"2020-04-30","Italy","3398.75"
"2020-05-01","Argentina","100.18"
"2020-05-01","Brazil","433.46"
"2020-05-01","India","26.97"
"2020-05-01","Italy","3431.25"
"2020-05-02","Argentina","103.48"
"2020-05-02","Brazil","456.49"
"2020-05-02","India","28.74"
"2020-05-02","Italy","3462.68"
"2020-05-03","Argentina","105.73"
"2020-05-03","Brazil","478.71"
"2020-05-03","India","30.77"
"2020-05-03","Italy","3485.66"
"2020-05-04","Argentina","108.03"
"2020-05-04","Brazil","510.65"
"2020-05-04","India","33.62"
"2020-05-04","Italy","3505.86"
"2020-05-05","Argentina","110.97"
"2020-05-05","Brazil","542.78"
"2020-05-05","India","35.76"
"2020-05-05","Italy","3523.64"
"2020-05-06","Argentina","115.13"
"2020-05-06","Brazil","595.23"
"2020-05-06","India","38.36"
"2020-05-06","Italy","3547.53"
"2020-05-07","Argentina","118.73"
"2020-05-07","Brazil","638.30"
"2020-05-07","India","40.79"
"2020-05-07","Italy","3570.70"
"2020-05-08","Argentina","124.04"
"2020-05-08","Brazil","690.58"
"2020-05-08","India","43.22"
"2020-05-08","Italy","3592.65"
"2020-05-09","Argentina","127.68"
"2020-05-09","Brazil","733.68"
"2020-05-09","India","45.47"
"2020-05-09","Italy","3610.57"
"2020-05-10","Argentina","133.39"
"2020-05-10","Brazil","764.88"
"2020-05-10","India","48.62"
"2020-05-10","Italy","3623.83"
"2020-05-11","Argentina","138.78"
"2020-05-11","Brazil","797.30"
"2020-05-11","India","51.23"
"2020-05-11","Italy","3636.14"
"2020-05-12","Argentina","145.08"
"2020-05-12","Brazil","837.82"
"2020-05-12","India","53.78"
"2020-05-12","Italy","3659.33"
"2020-05-13","Argentina","152.07"
"2020-05-13","Brazil","893.88"
"2020-05-13","India","56.51"
"2020-05-13","Italy","3674.02"
"2020-05-14","Argentina","157.70"
"2020-05-14","Brazil","955.12"
"2020-05-14","India","59.36"
"2020-05-14","Italy","3690.43"
"2020-05-15","Argentina","165.33"
"2020-05-15","Brazil","1035.64"
"2020-05-15","India","62.10"
"2020-05-15","Italy","3703.48"
"2020-05-16","Argentina","172.54"
"2020-05-16","Brazil","1097.79"
"2020-05-16","India","65.62"
"2020-05-16","Italy","3717.96"
"2020-05-17","Argentina","178.35"
"2020-05-17","Brazil","1133.37"
"2020-05-17","India","69.28"
"2020-05-17","Italy","3729.12"
"2020-05-18","Argentina","185.05"
"2020-05-18","Brazil","1200.54"
"2020-05-18","India","72.63"
"2020-05-18","Italy","3736.58"
"2020-05-19","Argentina","194.73"
"2020-05-19","Brazil","1278.19"
"2020-05-19","India","77.08"
"2020-05-19","Italy","3750.03"
"2020-05-20","Argentina","205.21"
"2020-05-20","Brazil","1370.78"
"2020-05-20","India","81.10"
"2020-05-20","Italy","3761.03"
"2020-05-21","Argentina","219.53"
"2020-05-21","Brazil","1457.79"
"2020-05-21","India","85.59"
"2020-05-21","Italy","3771.65"
"2020-05-22","Argentina","235.41"
"2020-05-22","Brazil","1555.59"
"2020-05-22","India","90.34"
"2020-05-22","Italy","3782.44"
"2020-05-23","Argentina","250.97"
"2020-05-23","Brazil","1633.19"
"2020-05-23","India","95.14"
"2020-05-23","Italy","3793.50"
"2020-05-24","Argentina","266.95"
"2020-05-24","Brazil","1707.54"
"2020-05-24","India","100.29"
"2020-05-24","Italy","3802.29"
"2020-05-25","Argentina","279.15"
"2020-05-25","Brazil","1762.48"
"2020-05-25","India","104.93"
"2020-05-25","Italy","3807.25"
"2020-05-26","Argentina","292.42"
"2020-05-26","Brazil","1839.22"
"2020-05-26","India","109.16"
"2020-05-26","Italy","3813.82"
"2020-05-27","Argentina","308.00"
"2020-05-27","Brazil","1936.06"
"2020-05-27","India","114.44"
"2020-05-27","Italy","3823.48"
"2020-05-28","Argentina","325.00"
"2020-05-28","Brazil","2060.25"
"2020-05-28","India","119.73"
"2020-05-28","Italy","3833.29"
"2020-05-29","Argentina","340.85"
"2020-05-29","Brazil","2186.85"
"2020-05-29","India","125.60"
"2020-05-29","Italy","3841.82"
"2020-05-30","Argentina","358.42"
"2020-05-30","Brazil","2343.28"
"2020-05-30","India","131.63"
"2020-05-30","Italy","3848.70"
"2020-05-31","Argentina","372.51"
"2020-05-31","Brazil","2420.42"
"2020-05-31","India","137.99"
"2020-05-31","Italy","3854.21"
"2020-06-01","Argentina","384.97"
"2020-06-01","Brazil","2474.94"
"2020-06-01","India","143.61"
"2020-06-01","Italy","3857.52"
"2020-06-02","Argentina","404.96"
"2020-06-02","Brazil","2610.98"
"2020-06-02","India","149.99"
"2020-06-02","Italy","3862.78"
"2020-06-03","Argentina","425.94"
"2020-06-03","Brazil","2745.59"
"2020-06-03","India","156.97"
"2020-06-03","Italy","3868.09"
"2020-06-04","Argentina","446.47"
"2020-06-04","Brazil","2890.97"
"2020-06-04","India","164.12"
"2020-06-04","Italy","3871.02"
"2020-06-05","Argentina","465.04"
"2020-06-05","Brazil","3035.91"
"2020-06-05","India","170.98"
"2020-06-05","Italy","3879.59"
"2020-06-06","Argentina","486.77"
"2020-06-06","Brazil","3163.20"
"2020-06-06","India","178.54"
"2020-06-06","Italy","3884.05"
"2020-06-07","Argentina","503.88"
"2020-06-07","Brazil","3252.11"
"2020-06-07","India","186.40"
"2020-06-07","Italy","3887.31"
"2020-06-08","Argentina","522.14"
"2020-06-08","Brazil","3325.70"
"2020-06-08","India","192.51"
"2020-06-08","Italy","3891.94"
"2020-06-09","Argentina","547.36"
"2020-06-09","Brazil","3476.57"
"2020-06-09","India","199.91"
"2020-06-09","Italy","3896.63"
"2020-06-10","Argentina","574.46"
"2020-06-10","Brazil","3631.30"
"2020-06-10","India","207.48"
"2020-06-10","Italy","3899.97"
"2020-06-11","Argentina","605.10"
"2020-06-11","Brazil","3774.27"
"2020-06-11","India","215.40"
"2020-06-11","Italy","3906.24"
"2020-06-12","Argentina","635.85"
"2020-06-12","Brazil","3896.42"
"2020-06-12","India","223.69"
"2020-06-12","Italy","3908.93"
"2020-06-13","Argentina","669.70"
"2020-06-13","Brazil","3998.45"
"2020-06-13","India","232.33"
"2020-06-13","Italy","3914.66"
"2020-06-14","Argentina","698.04"
"2020-06-14","Brazil","4078.89"
"2020-06-14","India","240.65"
"2020-06-14","Italy","3920.25"
"2020-06-15","Argentina","724.74"
"2020-06-15","Brazil","4175.96"
"2020-06-15","India","248.37"
"2020-06-15","Italy","3925.23"
"2020-06-16","Argentina","755.11"
"2020-06-16","Brazil","4340.12"
"2020-06-16","India","256.32"
"2020-06-16","Italy","3928.70"
"2020-06-17","Argentina","785.91"
"2020-06-17","Brazil","4491.44"
"2020-06-17","India","265.64"
"2020-06-17","Italy","3934.13"
"2020-06-18","Argentina","829.19"
"2020-06-18","Brazil","4598.46"
"2020-06-18","India","275.48"
"2020-06-18","Italy","3939.60"
"2020-06-19","Argentina","874.73"
"2020-06-19","Brazil","4855.95"
"2020-06-19","India","285.99"
"2020-06-19","Italy","3937.15"
"2020-06-20","Argentina","910.85"
"2020-06-20","Brazil","5018.92"
"2020-06-20","India","297.14"
"2020-06-20","Italy","3941.52"
"2020-06-21","Argentina","945.80"
"2020-06-21","Brazil","5093.03"
"2020-06-21","India","307.88"
"2020-06-21","Italy","3945.23"
"2020-06-22","Argentina","993.24"
"2020-06-22","Brazil","5201.76"
"2020-06-22","India","318.69"
"2020-06-22","Italy","3948.88"
"2020-06-23","Argentina","1043.46"
"2020-06-23","Brazil","5387.16"
"2020-06-23","India","330.25"
"2020-06-23","Italy","3950.75"
"2020-06-24","Argentina","1102.00"
"2020-06-24","Brazil","5588.02"
"2020-06-24","India","342.50"
"2020-06-24","Italy","3960.29"
"2020-06-25","Argentina","1159.61"
"2020-06-25","Brazil","5773.64"
"2020-06-25","India","355.02"
"2020-06-25","Italy","3965.19"
"2020-06-26","Argentina","1223.40"
"2020-06-26","Brazil","5993.93"
"2020-06-26","India","368.45"
"2020-06-26","Italy","3969.41"
"2020-06-27","Argentina","1276.48"
"2020-06-27","Brazil","6175.84"
"2020-06-27","India","382.86"
"2020-06-27","Italy","3972.30"
"2020-06-28","Argentina","1324.87"
"2020-06-28","Brazil","6319.11"
"2020-06-28","India","396.95"
"2020-06-28","Italy","3975.18"
"2020-06-29","Argentina","1376.49"
"2020-06-29","Brazil","6432.19"
"2020-06-29","India","410.35"
"2020-06-29","Italy","3977.27"
"2020-06-30","Argentina","1426.49"
"2020-06-30","Brazil","6591.30"
"2020-06-30","India","423.85"
"2020-06-30","Italy","3979.62"
"2020-07-01","Argentina","1485.45"
"2020-07-01","Brazil","6810.91"
"2020-07-01","India","437.72"
"2020-07-01","Italy","3982.63"
"2020-07-02","Argentina","1546.11"
"2020-07-02","Brazil","7037.06"
"2020-07-02","India","452.85"
"2020-07-02","Italy","3985.95"
"2020-07-03","Argentina","1609.00"
"2020-07-03","Brazil","7235.56"
"2020-07-03","India","469.34"
"2020-07-03","Italy","3989.64"
"2020-07-04","Argentina","1666.25"
"2020-07-04","Brazil","7413.84"
"2020-07-04","India","487.33"
"2020-07-04","Italy","3993.53"
"2020-07-05","Argentina","1720.17"
"2020-07-05","Brazil","7536.32"
"2020-07-05","India","504.88"
"2020-07-05","Italy","3996.70"
"2020-07-06","Argentina","1778.35"
"2020-07-06","Brazil","7631.42"
"2020-07-06","India","520.99"
"2020-07-06","Italy","4000.14"
"2020-07-07","Argentina","1844.20"
"2020-07-07","Brazil","7844.41"
"2020-07-07","India","537.46"
"2020-07-07","Italy","4002.41"
"2020-07-08","Argentina","1923.87"
"2020-07-08","Brazil","8053.94"
"2020-07-08","India","555.47"
"2020-07-08","Italy","4005.60"
"2020-07-09","Argentina","2004.85"
"2020-07-09","Brazil","8254.31"
"2020-07-09","India","574.66"
"2020-07-09","Italy","4009.14"
"2020-07-10","Argentina","2079.28"
"2020-07-10","Brazil","8466.09"
"2020-07-10","India","594.29"
"2020-07-10","Italy","4013.71"
"2020-07-11","Argentina","2155.52"
"2020-07-11","Brazil","8649.54"
"2020-07-11","India","615.00"
"2020-07-11","Italy","4016.82"
"2020-07-12","Argentina","2214.26"
"2020-07-12","Brazil","8766.28"
"2020-07-12","India","635.80"
"2020-07-12","Italy","4020.69"
"2020-07-13","Argentina","2282.76"
"2020-07-13","Brazil","8861.65"
"2020-07-13","India","656.43"
"2020-07-13","Italy","4023.48"
"2020-07-14","Argentina","2363.34"
"2020-07-14","Brazil","9058.43"
"2020-07-14","India","677.73"
"2020-07-14","Italy","4025.37"
"2020-07-15","Argentina","2456.98"
"2020-07-15","Brazil","9246.12"
"2020-07-15","India","701.39"
"2020-07-15","Italy","4028.05"
"2020-07-16","Argentina","2537.38"
"2020-07-16","Brazil","9459.57"
"2020-07-16","India","726.71"
"2020-07-16","Italy","4031.86"
"2020-07-17","Argentina","2637.25"
"2020-07-17","Brazil","9620.24"
"2020-07-17","India","752.23"
"2020-07-17","Italy","4035.68"
"2020-07-18","Argentina","2708.50"
"2020-07-18","Brazil","9754.38"
"2020-07-18","India","780.24"
"2020-07-18","Italy","4039.80"
"2020-07-19","Argentina","2802.03"
"2020-07-19","Brazil","9864.99"
"2020-07-19","India","809.51"
"2020-07-19","Italy","4043.40"
"2020-07-20","Argentina","2890.87"
"2020-07-20","Brazil","9960.22"
"2020-07-20","India","836.39"
"2020-07-20","Italy","4046.54"
"2020-07-21","Argentina","3009.00"
"2020-07-21","Brazil","10153.01"
"2020-07-21","India","863.71"
"2020-07-21","Italy","4048.66"
"2020-07-22","Argentina","3136.82"
"2020-07-22","Brazil","10472.04"
"2020-07-22","India","896.81"
"2020-07-22","Italy","4053.29"
"2020-07-23","Argentina","3272.26"
"2020-07-23","Brazil","10753.93"
"2020-07-23","India","932.50"
"2020-07-23","Italy","4058.36"
"2020-07-24","Argentina","3393.69"
"2020-07-24","Brazil","11016.68"
"2020-07-24","India","967.91"
"2020-07-24","Italy","4062.52"
"2020-07-25","Argentina","3500.11"
"2020-07-25","Brazil","11257.14"
"2020-07-25","India","1003.11"
"2020-07-25","Italy","4067.06"
"2020-07-26","Argentina","3592.78"
"2020-07-26","Brazil","11372.68"
"2020-07-26","India","1039.29"
"2020-07-26","Italy","4071.26"
"2020-07-27","Argentina","3700.87"
"2020-07-27","Brazil","11482.14"
"2020-07-27","India","1071.47"
"2020-07-27","Italy","4074.04"
