"continent","semana","casos_por_milhao_semana","mortes_por_milhao_semana"
"Africa","2020-01-20","0.00","0.00"
"Africa","2020-01-27","0.00","0.00"
"Africa","2020-02-03","0.00","0.00"
"Africa","2020-02-10","0.00","0.00"
"Africa","2020-02-17","0.00","0.00"
"Africa","2020-02-24","0.00","0.00"
"Africa","2020-03-02","0.01","0.00"
"Africa","2020-03-09","0.03","0.00"
"Africa","2020-03-16","0.13","0.00"
"Africa","2020-03-23","0.37","0.01"
"Africa","2020-03-30","0.51","0.03"
"Africa","2020-04-06","0.56","0.04"
"Africa","2020-04-13","0.86","0.04"
"Africa","2020-04-20","1.07","0.03"
"Africa","2020-04-27","1.40","0.04"
"Africa","2020-05-04","2.14","0.06"
"Africa","2020-05-11","2.37","0.05"
"Africa","2020-05-18","3.08","0.07"
"Africa","2020-05-25","3.89","0.10"
"Africa","2020-06-01","4.73","0.11"
"Africa","2020-06-08","5.83","0.15"
"Africa","2020-06-15","7.08","0.19"
"Africa","2020-06-22","8.50","0.17"
"Africa","2020-06-29","10.71","0.19"
"Africa","2020-07-06","13.50","0.22"
"Africa","2020-07-13","14.55","0.22"
"Africa","2020-07-20","14.50","0.30"
"Africa","2020-07-27","10.86","0.33"
"Asia","2020-01-20","0.00","0.00"
"Asia","2020-01-27","0.00","0.00"
"Asia","2020-02-03","0.00","0.00"
"Asia","2020-02-10","0.00","0.00"
"Asia","2020-02-17","0.01","0.00"
"Asia","2020-02-24","0.06","0.00"
"Asia","2020-03-02","0.30","0.01"
"Asia","2020-03-09","0.46","0.03"
"Asia","2020-03-16","0.70","0.05"
"Asia","2020-03-23","1.78","0.06"
"Asia","2020-03-30","2.80","0.09"
"Asia","2020-04-06","3.38","0.11"
"Asia","2020-04-13","3.81","0.12"
"Asia","2020-04-20","4.06","0.11"
"Asia","2020-04-27","3.93","0.11"
"Asia","2020-05-04","5.04","0.12"
"Asia","2020-05-11","5.88","0.12"
"Asia","2020-05-18","7.36","0.13"
"Asia","2020-05-25","8.13","0.16"
"Asia","2020-06-01","10.48","0.20"
"Asia","2020-06-08","11.92","0.25"
"Asia","2020-06-15","13.19","0.38"
"Asia","2020-06-22","14.48","0.31"
"Asia","2020-06-29","17.14","0.35"
"Asia","2020-07-06","17.60","0.38"
"Asia","2020-07-13","20.57","0.45"
"Asia","2020-07-20","23.42","0.47"
"Asia","2020-07-27","22.70","0.40"
"Australia/Oceania","2020-01-20","0.02","0.00"
"Australia/Oceania","2020-01-27","0.03","0.00"
"Australia/Oceania","2020-02-03","0.01","0.00"
"Australia/Oceania","2020-02-10","0.00","0.00"
"Australia/Oceania","2020-02-17","0.00","0.00"
"Australia/Oceania","2020-02-24","0.05","0.00"
"Australia/Oceania","2020-03-02","0.19","0.01"
"Australia/Oceania","2020-03-09","0.79","0.00"
"Australia/Oceania","2020-03-16","4.77","0.01"
"Australia/Oceania","2020-03-23","10.08","0.04"
"Australia/Oceania","2020-03-30","7.90","0.07"
"Australia/Oceania","2020-04-06","3.27","0.10"
"Australia/Oceania","2020-04-13","1.42","0.05"
"Australia/Oceania","2020-04-20","0.51","0.08"
"Australia/Oceania","2020-04-27","0.45","0.05"
"Australia/Oceania","2020-05-04","0.48","0.01"
"Australia/Oceania","2020-05-11","0.38","0.01"
"Australia/Oceania","2020-05-18","0.23","0.01"
"Australia/Oceania","2020-05-25","0.31","0.01"
"Australia/Oceania","2020-06-01","0.22","0.00"
"Australia/Oceania","2020-06-08","0.25","0.00"
"Australia/Oceania","2020-06-15","0.52","0.00"
"Australia/Oceania","2020-06-22","1.09","0.01"
"Australia/Oceania","2020-06-29","2.92","0.01"
"Australia/Oceania","2020-07-06","5.00","0.01"
"Australia/Oceania","2020-07-13","7.45","0.05"
"Australia/Oceania","2020-07-20","10.31","0.13"
"Australia/Oceania","2020-07-27","9.14","0.15"
"Europe","2020-01-20","0.00","0.00"
"Europe","2020-01-27","0.00","0.00"
"Europe","2020-02-03","0.00","0.00"
"Europe","2020-02-10","0.00","0.00"
"Europe","2020-02-17","0.03","0.00"
"Europe","2020-02-24","0.42","0.01"
"Europe","2020-03-02","2.05","0.08"
"Europe","2020-03-09","8.79","0.39"
"Europe","2020-03-16","23.23","1.32"
"Europe","2020-03-23","42.37","3.04"
"Europe","2020-03-30","44.23","4.48"
"Europe","2020-04-06","43.99","4.60"
"Europe","2020-04-13","38.63","4.11"
"Europe","2020-04-20","31.01","3.24"
"Europe","2020-04-27","27.15","2.31"
"Europe","2020-05-04","28.94","1.84"
"Europe","2020-05-11","25.43","1.50"
"Europe","2020-05-18","22.15","1.04"
"Europe","2020-05-25","21.74","0.46"
"Europe","2020-06-01","21.22","0.66"
"Europe","2020-06-08","21.40","0.59"
"Europe","2020-06-15","20.91","0.82"
"Europe","2020-06-22","19.57","0.45"
"Europe","2020-06-29","19.08","0.48"
"Europe","2020-07-06","18.75","0.48"
"Europe","2020-07-13","19.56","0.43"
"Europe","2020-07-20","21.93","0.40"
"Europe","2020-07-27","22.01","0.32"
"North America","2020-01-20","0.00","0.00"
"North America","2020-01-27","0.00","0.00"
"North America","2020-02-03","0.00","0.00"
"North America","2020-02-10","0.00","0.00"
"North America","2020-02-17","0.00","0.00"
"North America","2020-02-24","0.01","0.00"
"North America","2020-03-02","0.03","0.00"
"North America","2020-03-09","0.18","0.00"
"North America","2020-03-16","1.22","0.02"
"North America","2020-03-23","4.04","0.07"
"North America","2020-03-30","7.28","0.21"
"North America","2020-04-06","8.11","0.45"
"North America","2020-04-13","10.30","0.77"
"North America","2020-04-20","12.73","1.08"
"North America","2020-04-27","14.29","1.14"
"North America","2020-05-04","14.94","1.48"
"North America","2020-05-11","15.52","1.54"
"North America","2020-05-18","19.67","1.67"
"North America","2020-05-25","21.67","1.99"
"North America","2020-06-01","23.36","2.55"
"North America","2020-06-08","27.25","2.29"
"North America","2020-06-15","30.42","2.97"
"North America","2020-06-22","34.06","3.05"
"North America","2020-06-29","39.82","2.69"
"North America","2020-07-06","41.73","2.90"
"North America","2020-07-13","47.24","2.80"
"North America","2020-07-20","48.04","3.01"
"North America","2020-07-27","38.56","1.94"
"South America","2020-01-20","0.00","0.00"
"South America","2020-01-27","0.00","0.00"
"South America","2020-02-03","0.00","0.00"
"South America","2020-02-10","0.00","0.00"
"South America","2020-02-17","0.00","0.00"
"South America","2020-02-24","0.00","0.00"
"South America","2020-03-02","0.02","0.00"
"South America","2020-03-09","0.13","0.00"
"South America","2020-03-16","1.24","0.02"
"South America","2020-03-23","2.37","0.07"
"South America","2020-03-30","4.71","0.21"
"South America","2020-04-06","8.42","0.39"
"South America","2020-04-13","10.62","0.59"
"South America","2020-04-20","18.86","0.82"
"South America","2020-04-27","25.03","1.51"
"South America","2020-05-04","34.09","1.83"
"South America","2020-05-11","44.39","2.23"
"South America","2020-05-18","65.50","2.76"
"South America","2020-05-25","84.67","2.87"
"South America","2020-06-01","91.78","3.17"
"South America","2020-06-08","93.08","3.58"
"South America","2020-06-15","104.33","3.66"
"South America","2020-06-22","122.47","3.63"
"South America","2020-06-29","121.30","3.74"
"South America","2020-07-06","125.43","3.79"
"South America","2020-07-13","123.16","4.22"
"South America","2020-07-20","152.08","5.20"
"South America","2020-07-27","146.91","4.60"
