"date","confirmed","deaths","taxa_mortalidade_pct"
"2020-01-22","0","0",NULL
"2020-01-23","0","0",NULL
"2020-01-24","0","0",NULL
"2020-01-25","0","0",NULL
"2020-01-26","0","0",NULL
"2020-01-27","0","0",NULL
"2020-01-28","0","0",NULL
"2020-01-29","0","0",NULL
"2020-01-30","0","0",NULL
"2020-01-31","0","0",NULL
"2020-02-01","0","0",NULL
"2020-02-02","0","0",NULL
"2020-02-03","0","0",NULL
"2020-02-04","0","0",NULL
"2020-02-05","0","0",NULL
"2020-02-06","0","0",NULL
"2020-02-07","0","0",NULL
"2020-02-08","0","0",NULL
"2020-02-09","0","0",NULL
"2020-02-10","0","0",NULL
"2020-02-11","0","0",NULL
"2020-02-12","0","0",NULL
"2020-02-13","0","0",NULL
"2020-02-14","0","0",NULL
"2020-02-15","0","0",NULL
"2020-02-16","0","0",NULL
"2020-02-17","0","0",NULL
"2020-02-18","0","0",NULL
"2020-02-19","0","0",NULL
"2020-02-20","0","0",NULL
"2020-02-21","0","0",NULL
"2020-02-22","0","0",NULL
"2020-02-23","0","0",NULL
"2020-02-24","0","0",NULL
"2020-02-25","0","0",NULL
"2020-02-26","1","0","0.00"
"2020-02-27","1","0","0.00"
"2020-02-28","1","0","0.00"
"2020-02-29","2","0","0.00"
"2020-03-01","2","0","0.00"
"2020-03-02","2","0","0.00"
"2020-03-03","2","0","0.00"
"2020-03-04","4","0","0.00"
"2020-03-05","4","0","0.00"
"2020-03-06","13","0","0.00"
"2020-03-07","13","0","0.00"
"2020-03-08","20","0","0.00"
"2020-03-09","25","0","0.00"
"2020-03-10","31","0","0.00"
"2020-03-11","38","0","0.00"
"2020-03-12","52","0","0.00"
"2020-03-13","151","0","0.00"
"2020-03-14","151","0","0.00"
"2020-03-15","162","0","0.00"
"2020-03-16","200","0","0.00"
"2020-03-17","321","1","0.31"
"2020-03-18","372","3","0.81"
"2020-03-19","621","6","0.97"
"2020-03-20","793","11","1.39"
"2020-03-21","1021","15","1.47"
"2020-03-22","1546","25","1.62"
"2020-03-23","1924","34","1.77"
"2020-03-24","2247","46","2.05"
"2020-03-25","2554","59","2.31"
"2020-03-26","2985","77","2.58"
"2020-03-27","3417","92","2.69"
"2020-03-28","3904","111","2.84"
"2020-03-29","4256","136","3.20"
"2020-03-30","4579","159","3.47"
"2020-03-31","5717","201","3.52"
"2020-04-01","6836","240","3.51"
"2020-04-02","8044","324","4.03"
"2020-04-03","9056","359","3.96"
"2020-04-04","10360","445","4.30"
"2020-04-05","11130","486","4.37"
"2020-04-06","12161","564","4.64"
"2020-04-07","14034","686","4.89"
"2020-04-08","16170","819","5.06"
"2020-04-09","18092","950","5.25"
"2020-04-10","19638","1057","5.38"
"2020-04-11","20727","1124","5.42"
"2020-04-12","22192","1223","5.51"
"2020-04-13","23430","1328","5.67"
"2020-04-14","25262","1532","6.06"
"2020-04-15","28320","1736","6.13"
"2020-04-16","30425","1924","6.32"
"2020-04-17","33682","2141","6.36"
"2020-04-18","36658","2354","6.42"
"2020-04-19","38654","2462","6.37"
"2020-04-20","40743","2587","6.35"
"2020-04-21","43079","2741","6.36"
"2020-04-22","45757","2906","6.35"
"2020-04-23","50036","3331","6.66"
"2020-04-24","54043","3704","6.85"
"2020-04-25","59324","4057","6.84"
"2020-04-26","63100","4286","6.79"
"2020-04-27","67446","4603","6.82"
"2020-04-28","73235","5083","6.94"
"2020-04-29","79685","5513","6.92"
"2020-04-30","87187","6006","6.89"
"2020-05-01","92202","6412","6.95"
"2020-05-02","97100","6761","6.96"
"2020-05-03","101826","7051","6.92"
"2020-05-04","108620","7367","6.78"
"2020-05-05","115455","7938","6.88"
"2020-05-06","126611","8588","6.78"
"2020-05-07","135773","9190","6.77"
"2020-05-08","146894","10017","6.82"
"2020-05-09","156061","10656","6.83"
"2020-05-10","162699","11123","6.84"
"2020-05-11","169594","11653","6.87"
"2020-05-12","178214","12461","6.99"
"2020-05-13","190137","13240","6.96"
"2020-05-14","203165","13999","6.89"
"2020-05-15","220291","14962","6.79"
"2020-05-16","233511","15662","6.71"
"2020-05-17","241080","16118","6.69"
"2020-05-18","255368","16853","6.60"
"2020-05-19","271885","17983","6.61"
"2020-05-20","291579","18859","6.47"
"2020-05-21","310087","20047","6.46"
"2020-05-22","330890","21048","6.36"
"2020-05-23","347398","22013","6.34"
"2020-05-24","363211","22666","6.24"
"2020-05-25","374898","23473","6.26"
"2020-05-26","391222","24512","6.27"
"2020-05-27","411821","25598","6.22"
"2020-05-28","438238","26754","6.10"
"2020-05-29","465166","27878","5.99"
"2020-05-30","498440","28834","5.78"
"2020-05-31","514849","29314","5.69"
"2020-06-01","526447","29937","5.69"
"2020-06-02","555383","31199","5.62"
"2020-06-03","584016","32548","5.57"
"2020-06-04","614941","34021","5.53"
"2020-06-05","645771","35026","5.42"
"2020-06-06","672846","35930","5.34"
"2020-06-07","691758","36455","5.27"
"2020-06-08","707412","37134","5.25"
"2020-06-09","739503","38406","5.19"
"2020-06-10","772416","39680","5.14"
"2020-06-11","802828","40919","5.10"
"2020-06-12","828810","41828","5.05"
"2020-06-13","850514","42720","5.02"
"2020-06-14","867624","43332","4.99"
"2020-06-15","888271","43959","4.95"
"2020-06-16","923189","45241","4.90"
"2020-06-17","955377","46510","4.87"
"2020-06-18","978142","47748","4.88"
"2020-06-19","1032913","48954","4.74"
"2020-06-20","1067579","49976","4.68"
"2020-06-21","1083341","50591","4.67"
"2020-06-22","1106470","51271","4.63"
"2020-06-23","1145906","52645","4.59"
"2020-06-24","1188631","53830","4.53"
"2020-06-25","1228114","54971","4.48"
"2020-06-26","1274974","55961","4.39"
"2020-06-27","1313667","57070","4.34"
"2020-06-28","1344143","57622","4.29"
"2020-06-29","1368195","58314","4.26"
"2020-06-30","1402041","59594","4.25"
"2020-07-01","1448753","60632","4.19"
"2020-07-02","1496858","61884","4.13"
"2020-07-03","1539081","63174","4.10"
"2020-07-04","1577004","64265","4.08"
"2020-07-05","1603055","64867","4.05"
"2020-07-06","1623284","65487","4.03"
"2020-07-07","1668589","66741","4.00"
"2020-07-08","1713160","67964","3.97"
"2020-07-09","1755779","69184","3.94"
"2020-07-10","1800827","70398","3.91"
"2020-07-11","1839850","71469","3.88"
"2020-07-12","1864681","72100","3.87"
"2020-07-13","1884967","72833","3.86"
"2020-07-14","1926824","74133","3.85"
"2020-07-15","1966748","75366","3.83"
"2020-07-16","2012151","76688","3.81"
"2020-07-17","2046328","77851","3.80"
"2020-07-18","2074860","78772","3.80"
"2020-07-19","2098389","79488","3.79"
"2020-07-20","2118646","80120","3.78"
"2020-07-21","2159654","81487","3.77"
"2020-07-22","2227514","82771","3.72"
"2020-07-23","2287475","84082","3.68"
"2020-07-24","2343366","85238","3.64"
"2020-07-25","2394513","86449","3.61"
"2020-07-26","2419091","87004","3.60"
"2020-07-27","2442375","87618","3.59"
